GO.ID	Term	Annotated	Significant	Expected	Fisher
395	GO:0016157	sucrose synthase activity	9	0	0.05	1.00000
396	GO:0016211	ammonia ligase activity	7	0	0.04	1.00000
397	GO:0016229	steroid dehydrogenase activity	21	0	0.11	1.00000
398	GO:0016247	channel regulator activity	5	0	0.03	1.00000
399	GO:0016248	channel inhibitor activity	5	0	0.03	1.00000
400	GO:0016278	lysine N-methyltransferase activity	13	0	0.07	1.00000
401	GO:0016279	protein-lysine N-methyltransferase activ...	13	0	0.07	1.00000
402	GO:0016298	lipase activity	12	0	0.06	1.00000
403	GO:0016307	phosphatidylinositol phosphate kinase ac...	13	0	0.07	1.00000
404	GO:0016407	acetyltransferase activity	46	0	0.25	1.00000
405	GO:0016410	N-acyltransferase activity	42	0	0.22	1.00000
406	GO:0016411	acylglycerol O-acyltransferase activity	9	0	0.05	1.00000
407	GO:0016412	serine O-acyltransferase activity	5	0	0.03	1.00000
408	GO:0016413	O-acetyltransferase activity	5	0	0.03	1.00000
409	GO:0016423	tRNA (guanine) methyltransferase activit...	5	0	0.03	1.00000
410	GO:0016530	metallochaperone activity	3	0	0.02	1.00000
411	GO:0016531	copper chaperone activity	3	0	0.02	1.00000
412	GO:0016538	cyclin-dependent protein serine/threonin...	12	0	0.06	1.00000
413	GO:0016597	amino acid binding	19	0	0.1	1.00000
414	GO:0016614	oxidoreductase activity, acting on CH-OH...	103	0	0.55	1.00000
415	GO:0016615	malate dehydrogenase activity	10	0	0.05	1.00000
416	GO:0016616	oxidoreductase activity, acting on the C...	87	0	0.46	1.00000
417	GO:0016620	oxidoreductase activity, acting on the a...	16	0	0.09	1.00000
418	GO:0016624	oxidoreductase activity, acting on the a...	7	0	0.04	1.00000
419	GO:0016627	oxidoreductase activity, acting on the C...	32	0	0.17	1.00000
420	GO:0016628	oxidoreductase activity, acting on the C...	5	0	0.03	1.00000
421	GO:0016634	oxidoreductase activity, acting on the C...	8	0	0.04	1.00000
422	GO:0016638	oxidoreductase activity, acting on the C...	16	0	0.09	1.00000
423	GO:0016641	oxidoreductase activity, acting on the C...	11	0	0.06	1.00000
424	GO:0016646	oxidoreductase activity, acting on the C...	9	0	0.05	1.00000
425	GO:0016651	oxidoreductase activity, acting on NAD(P...	25	0	0.13	1.00000
426	GO:0016655	oxidoreductase activity, acting on NAD(P...	11	0	0.06	1.00000
427	GO:0016668	oxidoreductase activity, acting on a sul...	39	0	0.21	1.00000
428	GO:0016670	oxidoreductase activity, acting on a sul...	4	0	0.02	1.00000
429	GO:0016675	oxidoreductase activity, acting on a hem...	10	0	0.05	1.00000
430	GO:0016679	oxidoreductase activity, acting on diphe...	9	0	0.05	1.00000
431	GO:0016682	oxidoreductase activity, acting on diphe...	3	0	0.02	1.00000
432	GO:0016702	oxidoreductase activity, acting on singl...	16	0	0.09	1.00000
433	GO:0016703	oxidoreductase activity, acting on singl...	6	0	0.03	1.00000
434	GO:0016709	oxidoreductase activity, acting on paire...	11	0	0.06	1.00000
435	GO:0016712	oxidoreductase activity, acting on paire...	4	0	0.02	1.00000
436	GO:0016721	oxidoreductase activity, acting on super...	4	0	0.02	1.00000
437	GO:0016725	oxidoreductase activity, acting on CH or...	3	0	0.02	1.00000
438	GO:0016741	transferase activity, transferring one-c...	188	0	1	1.00000
439	GO:0016742	hydroxymethyl-, formyl- and related tran...	7	0	0.04	1.00000
440	GO:0016755	aminoacyltransferase activity	4	0	0.02	1.00000
441	GO:0016763	pentosyltransferase activity	8	0	0.04	1.00000
442	GO:0016765	transferase activity, transferring alkyl...	33	0	0.18	1.00000
443	GO:0016769	transferase activity, transferring nitro...	14	0	0.07	1.00000
444	GO:0016774	phosphotransferase activity, carboxyl gr...	3	0	0.02	1.00000
445	GO:0016775	phosphotransferase activity, nitrogenous...	10	0	0.05	1.00000
446	GO:0016776	phosphotransferase activity, phosphate g...	8	0	0.04	1.00000
447	GO:0016778	diphosphotransferase activity	6	0	0.03	1.00000
448	GO:0016779	nucleotidyltransferase activity	122	0	0.65	1.00000
449	GO:0016780	phosphotransferase activity, for other s...	12	0	0.06	1.00000
450	GO:0016782	transferase activity, transferring sulph...	10	0	0.05	1.00000
451	GO:0016783	sulfurtransferase activity	4	0	0.02	1.00000
452	GO:0016790	thiolester hydrolase activity	13	0	0.07	1.00000
453	GO:0016796	exonuclease activity, active with either...	3	0	0.02	1.00000
454	GO:0016799	hydrolase activity, hydrolyzing N-glycos...	10	0	0.05	1.00000
455	GO:0016810	hydrolase activity, acting on carbon-nit...	36	0	0.19	1.00000
456	GO:0016811	hydrolase activity, acting on carbon-nit...	14	0	0.07	1.00000
457	GO:0016814	hydrolase activity, acting on carbon-nit...	11	0	0.06	1.00000
458	GO:0016829	lyase activity	119	0	0.63	1.00000
459	GO:0016830	carbon-carbon lyase activity	53	0	0.28	1.00000
460	GO:0016831	carboxy-lyase activity	32	0	0.17	1.00000
461	GO:0016832	aldehyde-lyase activity	11	0	0.06	1.00000
462	GO:0016833	oxo-acid-lyase activity	6	0	0.03	1.00000
463	GO:0016835	carbon-oxygen lyase activity	39	0	0.21	1.00000
464	GO:0016836	hydro-lyase activity	26	0	0.14	1.00000
465	GO:0016837	carbon-oxygen lyase activity, acting on ...	3	0	0.02	1.00000
466	GO:0016838	carbon-oxygen lyase activity, acting on ...	10	0	0.05	1.00000
467	GO:0016840	carbon-nitrogen lyase activity	5	0	0.03	1.00000
468	GO:0016842	amidine-lyase activity	3	0	0.02	1.00000
469	GO:0016846	carbon-sulfur lyase activity	6	0	0.03	1.00000
470	GO:0016849	phosphorus-oxygen lyase activity	4	0	0.02	1.00000
471	GO:0016851	magnesium chelatase activity	5	0	0.03	1.00000
472	GO:0016853	isomerase activity	128	0	0.68	1.00000
473	GO:0016854	racemase and epimerase activity	5	0	0.03	1.00000
474	GO:0016857	racemase and epimerase activity, acting ...	3	0	0.02	1.00000
475	GO:0016859	cis-trans isomerase activity	31	0	0.17	1.00000
476	GO:0016860	intramolecular oxidoreductase activity	18	0	0.1	1.00000
477	GO:0016861	intramolecular oxidoreductase activity, ...	13	0	0.07	1.00000
478	GO:0016863	intramolecular oxidoreductase activity, ...	3	0	0.02	1.00000
479	GO:0016866	intramolecular transferase activity	40	0	0.21	1.00000
480	GO:0016868	intramolecular transferase activity, pho...	13	0	0.07	1.00000
481	GO:0016872	intramolecular lyase activity	7	0	0.04	1.00000
482	GO:0016874	ligase activity	118	0	0.63	1.00000
483	GO:0016875	ligase activity, forming carbon-oxygen b...	43	0	0.23	1.00000
484	GO:0016877	ligase activity, forming carbon-sulfur b...	13	0	0.07	1.00000
485	GO:0016879	ligase activity, forming carbon-nitrogen...	41	0	0.22	1.00000
486	GO:0016880	acid-ammonia (or amide) ligase activity	7	0	0.04	1.00000
487	GO:0016881	acid-amino acid ligase activity	10	0	0.05	1.00000
488	GO:0016884	carbon-nitrogen ligase activity, with gl...	13	0	0.07	1.00000
489	GO:0016886	ligase activity, forming phosphoric este...	4	0	0.02	1.00000
490	GO:0016888	endodeoxyribonuclease activity, producin...	3	0	0.02	1.00000
491	GO:0016891	endoribonuclease activity, producing 5'-...	11	0	0.06	1.00000
492	GO:0016893	endonuclease activity, active with eithe...	14	0	0.07	1.00000
493	GO:0016899	oxidoreductase activity, acting on the C...	4	0	0.02	1.00000
494	GO:0016901	oxidoreductase activity, acting on the C...	3	0	0.02	1.00000
495	GO:0016903	oxidoreductase activity, acting on the a...	23	0	0.12	1.00000
496	GO:0016972	thiol oxidase activity	3	0	0.02	1.00000
497	GO:0016987	sigma factor activity	6	0	0.03	1.00000
498	GO:0016992	lipoate synthase activity	4	0	0.02	1.00000
499	GO:0017025	TBP-class protein binding	6	0	0.03	1.00000
500	GO:0017069	snRNA binding	6	0	0.03	1.00000
501	GO:0017089	glycolipid transfer activity	3	0	0.02	1.00000
502	GO:0017150	tRNA dihydrouridine synthase activity	5	0	0.03	1.00000
503	GO:0017171	serine hydrolase activity	110	0	0.59	1.00000
504	GO:0017176	phosphatidylinositol N-acetylglucosaminy...	3	0	0.02	1.00000
505	GO:0018024	histone-lysine N-methyltransferase activ...	13	0	0.07	1.00000
506	GO:0019104	DNA N-glycosylase activity	9	0	0.05	1.00000
507	GO:0019139	cytokinin dehydrogenase activity	7	0	0.04	1.00000
508	GO:0019200	carbohydrate kinase activity	17	0	0.09	1.00000
509	GO:0019203	carbohydrate phosphatase activity	8	0	0.04	1.00000
510	GO:0019205	nucleobase-containing compound kinase ac...	18	0	0.1	1.00000
511	GO:0019207	kinase regulator activity	16	0	0.09	1.00000
512	GO:0019210	kinase inhibitor activity	7	0	0.04	1.00000
513	GO:0019238	cyclohydrolase activity	6	0	0.03	1.00000
514	GO:0019239	deaminase activity	6	0	0.03	1.00000
515	GO:0019783	ubiquitin-like protein peptidase activit...	7	0	0.04	1.00000
516	GO:0019787	ubiquitin-like protein transferase activ...	82	0	0.44	1.00000
517	GO:0019789	SUMO transferase activity	4	0	0.02	1.00000
518	GO:0019825	oxygen binding	3	0	0.02	1.00000
519	GO:0019829	ATPase-coupled cation transmembrane tran...	12	0	0.06	1.00000
520	GO:0019842	vitamin binding	65	0	0.35	1.00000
521	GO:0019843	rRNA binding	21	0	0.11	1.00000
522	GO:0019887	protein kinase regulator activity	16	0	0.09	1.00000
523	GO:0019899	enzyme binding	14	0	0.07	1.00000
524	GO:0019900	kinase binding	8	0	0.04	1.00000
525	GO:0019901	protein kinase binding	8	0	0.04	1.00000
526	GO:0019904	protein domain specific binding	15	0	0.08	1.00000
527	GO:0022803	passive transmembrane transporter activi...	52	0	0.28	1.00000
528	GO:0022824	transmitter-gated ion channel activity	11	0	0.06	1.00000
529	GO:0022832	voltage-gated channel activity	10	0	0.05	1.00000
530	GO:0022834	ligand-gated channel activity	11	0	0.06	1.00000
531	GO:0022835	transmitter-gated channel activity	11	0	0.06	1.00000
532	GO:0022836	gated channel activity	22	0	0.12	1.00000
533	GO:0022853	active ion transmembrane transporter act...	53	0	0.28	1.00000
534	GO:0022890	inorganic cation transmembrane transport...	115	0	0.61	1.00000
535	GO:0030145	manganese ion binding	7	0	0.04	1.00000
536	GO:0030170	pyridoxal phosphate binding	54	0	0.29	1.00000
537	GO:0030247	polysaccharide binding	19	0	0.1	1.00000
538	GO:0030274	LIM domain binding	4	0	0.02	1.00000
539	GO:0030291	protein serine/threonine kinase inhibito...	7	0	0.04	1.00000
540	GO:0030414	peptidase inhibitor activity	13	0	0.07	1.00000
541	GO:0030545	signaling receptor regulator activity	4	0	0.02	1.00000
542	GO:0030546	signaling receptor activator activity	4	0	0.02	1.00000
543	GO:0030570	pectate lyase activity	3	0	0.02	1.00000
544	GO:0030594	neurotransmitter receptor activity	11	0	0.06	1.00000
545	GO:0030695	GTPase regulator activity	20	0	0.11	1.00000
546	GO:0030955	potassium ion binding	9	0	0.05	1.00000
547	GO:0030976	thiamine pyrophosphate binding	8	0	0.04	1.00000
548	GO:0030983	mismatched DNA binding	12	0	0.06	1.00000
549	GO:0031072	heat shock protein binding	8	0	0.04	1.00000
550	GO:0031127	alpha-(1,2)-fucosyltransferase activity	3	0	0.02	1.00000
551	GO:0031369	translation initiation factor binding	4	0	0.02	1.00000
552	GO:0031420	alkali metal ion binding	9	0	0.05	1.00000
553	GO:0031625	ubiquitin protein ligase binding	6	0	0.03	1.00000
554	GO:0031683	G-protein beta/gamma-subunit complex bin...	4	0	0.02	1.00000
555	GO:0032296	double-stranded RNA-specific ribonucleas...	9	0	0.05	1.00000
556	GO:0032549	ribonucleoside binding	6	0	0.03	1.00000
557	GO:0033764	steroid dehydrogenase activity, acting o...	21	0	0.11	1.00000
558	GO:0033897	ribonuclease T2 activity	3	0	0.02	1.00000
559	GO:0033926	glycopeptide alpha-N-acetylgalactosamini...	8	0	0.04	1.00000
560	GO:0034061	DNA polymerase activity	15	0	0.08	1.00000
561	GO:0034062	5'-3' RNA polymerase activity	58	0	0.31	1.00000
562	GO:0034212	peptide N-acetyltransferase activity	12	0	0.06	1.00000
563	GO:0035091	phosphatidylinositol binding	10	0	0.05	1.00000
564	GO:0038023	signaling receptor activity	13	0	0.07	1.00000
565	GO:0042054	histone methyltransferase activity	13	0	0.07	1.00000
566	GO:0042083	5,10-methylenetetrahydrofolate-dependent...	3	0	0.02	1.00000
567	GO:0042085	5-methyltetrahydropteroyltri-L-glutamate...	3	0	0.02	1.00000
568	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase ...	4	0	0.02	1.00000
569	GO:0042162	telomeric DNA binding	4	0	0.02	1.00000
570	GO:0042277	peptide binding	7	0	0.04	1.00000
571	GO:0042393	histone binding	24	0	0.13	1.00000
572	GO:0042625	ATPase-coupled ion transmembrane transpo...	12	0	0.06	1.00000
573	GO:0042626	ATPase-coupled transmembrane transporter...	48	0	0.26	1.00000
574	GO:0042802	identical protein binding	4	0	0.02	1.00000
575	GO:0042803	protein homodimerization activity	4	0	0.02	1.00000
576	GO:0043021	ribonucleoprotein complex binding	5	0	0.03	1.00000
577	GO:0043022	ribosome binding	4	0	0.02	1.00000
578	GO:0043047	single-stranded telomeric DNA binding	3	0	0.02	1.00000
579	GO:0043177	organic acid binding	20	0	0.11	1.00000
580	GO:0043565	sequence-specific DNA binding	187	0	1	1.00000
581	GO:0043733	DNA-3-methylbase glycosylase activity	6	0	0.03	1.00000
582	GO:0044389	ubiquitin-like protein ligase binding	6	0	0.03	1.00000
583	GO:0044769	ATPase activity, coupled to transmembran...	12	0	0.06	1.00000
584	GO:0044877	protein-containing complex binding	11	0	0.06	1.00000
585	GO:0045182	translation regulator activity	61	0	0.32	1.00000
586	GO:0046873	metal ion transmembrane transporter acti...	48	0	0.26	1.00000
587	GO:0046912	acyltransferase activity, acyl groups co...	9	0	0.05	1.00000
588	GO:0046915	transition metal ion transmembrane trans...	7	0	0.04	1.00000
589	GO:0046923	ER retention sequence binding	6	0	0.03	1.00000
590	GO:0046933	proton-transporting ATP synthase activit...	10	0	0.05	1.00000
591	GO:0046943	carboxylic acid transmembrane transporte...	14	0	0.07	1.00000
592	GO:0046961	proton-transporting ATPase activity, rot...	12	0	0.06	1.00000
593	GO:0046983	protein dimerization activity	147	0	0.78	1.00000
594	GO:0047134	protein-disulfide reductase (NAD(P)) act...	39	0	0.21	1.00000
595	GO:0047262	polygalacturonate 4-alpha-galacturonosyl...	15	0	0.08	1.00000
596	GO:0047325	inositol tetrakisphosphate 1-kinase acti...	4	0	0.02	1.00000
597	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(...	4	0	0.02	1.00000
598	GO:0048018	receptor ligand activity	4	0	0.02	1.00000
599	GO:0048029	monosaccharide binding	5	0	0.03	1.00000
600	GO:0048038	quinone binding	13	0	0.07	1.00000
601	GO:0050136	NADH dehydrogenase (quinone) activity	7	0	0.04	1.00000
602	GO:0050145	nucleoside monophosphate kinase activity	3	0	0.02	1.00000
603	GO:0050307	sucrose-phosphate phosphatase activity	4	0	0.02	1.00000
604	GO:0050308	sugar-phosphatase activity	8	0	0.04	1.00000
605	GO:0050660	flavin adenine dinucleotide binding	69	0	0.37	1.00000
606	GO:0050661	NADP binding	25	0	0.13	1.00000
607	GO:0050664	oxidoreductase activity, acting on NAD(P...	7	0	0.04	1.00000
608	GO:0050997	quaternary ammonium group binding	8	0	0.04	1.00000
609	GO:0051002	ligase activity, forming nitrogen-metal ...	5	0	0.03	1.00000
610	GO:0051003	ligase activity, forming nitrogen-metal ...	5	0	0.03	1.00000
611	GO:0051082	unfolded protein binding	31	0	0.17	1.00000
612	GO:0051087	chaperone binding	13	0	0.07	1.00000
613	GO:0051213	dioxygenase activity	18	0	0.1	1.00000
614	GO:0051287	NAD binding	49	0	0.26	1.00000
615	GO:0051536	iron-sulfur cluster binding	55	0	0.29	1.00000
616	GO:0051537	2 iron, 2 sulfur cluster binding	9	0	0.05	1.00000
617	GO:0051539	4 iron, 4 sulfur cluster binding	9	0	0.05	1.00000
618	GO:0051540	metal cluster binding	55	0	0.29	1.00000
619	GO:0051765	inositol tetrakisphosphate kinase activi...	4	0	0.02	1.00000
620	GO:0051766	inositol trisphosphate kinase activity	6	0	0.03	1.00000
621	GO:0051861	glycolipid binding	3	0	0.02	1.00000
622	GO:0051998	protein carboxyl O-methyltransferase act...	4	0	0.02	1.00000
623	GO:0052725	inositol-1,3,4-trisphosphate 6-kinase ac...	4	0	0.02	1.00000
624	GO:0052726	inositol-1,3,4-trisphosphate 5-kinase ac...	4	0	0.02	1.00000
625	GO:0060089	molecular transducer activity	13	0	0.07	1.00000
626	GO:0060589	nucleoside-triphosphatase regulator acti...	20	0	0.11	1.00000
627	GO:0060590	ATPase regulator activity	4	0	0.02	1.00000
628	GO:0061134	peptidase regulator activity	13	0	0.07	1.00000
629	GO:0061135	endopeptidase regulator activity	13	0	0.07	1.00000
630	GO:0061733	peptide-lysine-N-acetyltransferase activ...	12	0	0.06	1.00000
631	GO:0070001	aspartic-type peptidase activity	56	0	0.3	1.00000
632	GO:0070003	threonine-type peptidase activity	24	0	0.13	1.00000
633	GO:0070008	serine-type exopeptidase activity	36	0	0.19	1.00000
634	GO:0070279	vitamin B6 binding	54	0	0.29	1.00000
635	GO:0070566	adenylyltransferase activity	10	0	0.05	1.00000
636	GO:0070568	guanylyltransferase activity	5	0	0.03	1.00000
637	GO:0070569	uridylyltransferase activity	8	0	0.04	1.00000
638	GO:0071949	FAD binding	15	0	0.08	1.00000
639	GO:0080019	fatty-acyl-CoA reductase (alcohol-formin...	4	0	0.02	1.00000
640	GO:0090079	translation regulator activity, nucleic ...	61	0	0.32	1.00000
641	GO:0097747	RNA polymerase activity	58	0	0.31	1.00000
642	GO:0098599	palmitoyl hydrolase activity	6	0	0.03	1.00000
643	GO:0098847	sequence-specific single stranded DNA bi...	3	0	0.02	1.00000
644	GO:0099106	ion channel regulator activity	5	0	0.03	1.00000
645	GO:0101005	deubiquitinase activity	7	0	0.04	1.00000
646	GO:0106413	dihydrouridine synthase activity	5	0	0.03	1.00000
647	GO:0120013	lipid transfer activity	3	0	0.02	1.00000
648	GO:0140098	catalytic activity, acting on RNA	163	0	0.87	1.00000
649	GO:0140101	catalytic activity, acting on a tRNA	72	0	0.38	1.00000
650	GO:0140103	catalytic activity, acting on a glycopro...	16	0	0.09	1.00000
651	GO:0140104	molecular carrier activity	3	0	0.02	1.00000
652	GO:0140296	general transcription initiation factor ...	6	0	0.03	1.00000
653	GO:0140299	small molecule sensor activity	10	0	0.05	1.00000
654	GO:0140678	molecular function inhibitor activity	5	0	0.03	1.00000
655	GO:1901505	carbohydrate derivative transmembrane tr...	6	0	0.03	1.00000
656	GO:1901682	sulfur compound transmembrane transporte...	10	0	0.05	1.00000
657	GO:2001070	starch binding	4	0	0.02	1.00000
